Style#,Color,On OS 
#0825,WHT,YES
#0826,BLK,NO
#0826,BLK,NO
#0867,BLK,YES
#0867,CHOCO,YES
#0867,WHT,NO
#0867,BLK,YES
#0867,CHOCO,YES
#0867,WHT,NO
#0875,PEACOCK,NO
#0877,NAVY,YES
#0877,WHT,YES
#0877,NAVY,YES
#0877,WHT,YES
#0888,SAPP/TEAL,NO
#0888,WHT,NO
#0888,SAPP/TEAL,NO
#0889,AQUA BLUE,NO
#0889,WHT,NO
#0889,AQUA BLUE,NO
#0889,WHT,NO
#0895,B. ORANGE,NO
#0898,SFM,NO
#0898,SFM,NO
#0898,WHT,NO
#0899,SFM,NO
#0899,SFM,NO
#0899,WHT,NO
#0903,BLK,YES
#0903,WHT,YES
#0903,BLK,YES
#0903,WHT,YES
#0906,W/N,NO
#0906,WHT/TURQ,NO
#0906,W/N,NO
#0906,WHT/TURQ,NO
#0907,CHAM,YES
#0907,Emerald,YES
#0907,CHAM,YES
#0907,Emerald,YES
#0908,CHAM,YES
#0908,Emerald,YES
#0908,CHAM,YES
#0908,Emerald,YES
#0910,BLK/WHT DOT,NO
#0910,BLK/WHT DOT,NO
#0913,WHT,NO
#0918,NAVY,YES
#0918,NAVY,YES
#0919,BLK,NO
#0919,FUCHSIA,NO
#0919,BLK,NO
#0919,FUCHSIA,NO
#0920,BLK,NO
#0920,WHT,NO
#0920,BLK,NO
#0920,WHT,NO
#0921,BLK,NO
#0921,WHT,NO
#0921,BLK,NO
#0921,WHT,NO
#A,001-BLK,NO
#D1319,BLUE,NO
#D1319,PURPLE,NO
#D1320,MUSTARD/GLD,NO
#D1320,OLIVE/BLK,NO
#D1320,RYL,NO
#D1321,BLK,NO
#D1321,WHT,NO
#D1322,DENIM DOT,NO
#D1323,SIL,NO
#D1323,WHT,NO
#D1324,DENIM DOT,NO
#D1325,DENIM DOT,NO
#D1326,WHT,NO
#D1326P,BLUE PRT,NO
#D1326P,YEL PRT,NO
#D1327,GREEN/PINK,NO
#D1327,GREEN/YEL,NO
#D1329,CORAL PINK,NO
#D1329,WHT,NO
#D1329,CORAL PINK,NO
#D1329,WHT,NO
#D1331,BRICK,NO
#D1331,RAINBOW,NO
#D1332,BLACK/WHT,NO
#D1332,BLK/BLK,NO
#D1332,WHT/WHT,NO
#D1333,IVY,NO
#D1333,NAVY,NO
#D1333,LAV,NO
#D1333,NAVY,NO
#D1334,PURPLE,NO
#D1334,NAVY,NO
#D1334,PURPLE,NO
#D1335,W/B,NO
#D1335,W/B,NO
#D1337,MULTI,YES
#D1337,MULTI,YES
#D1338,BLACK/WHT,YES
#D1338,BLACK/WHT,YES
#D1339,GOLD/RYL,NO
#D1339,GOLD/RYL,NO
#D1340,GOLD/RED/BLK,NO
#D1340,GOLD/RED/BLK,NO
#D1341,ORG MULTI,NO
#D1341,SFM MULTI,NO
#D1341,ORG MULTI,NO
#D1341,SFM MULTI,NO
#D1342,BLK/RED,NO
#D1342,WHT/ROYAL,YES
#D1342,BLK/RED,NO
#D1342,WHT/ROYAL,YES
#D1344,GLD/BLK,NO
#D1344,GLD/BLK,NO
#D1344,WHT 01,NO
#D1345,SAPPHIRE,NO
#D1345,WHT,NO
#D1345,GOLD,NO
#D1345,SAPPHIRE,NO
#D1345,WHT,NO
#D1346,BLK,NO
#D1346,BLK,NO
#D1347,MULTI,NO
#D1347,MULTI,NO
#D1348,MULTI,NO
#D1348,MULTI,NO
#D1349,BLK/PNK,NO
#D1349,BLK/PNK,NO
#D1423,DK. SILVER,NO
#D1423B,BLK,NO
#D1423B,CHAM,NO
#D1423B,LT. SILVER,NO
#D1423B,BLK,NO
#D1423B,CHAM,NO
#D1423B,LT. SILVER,NO
#D1423,DK. SILVER,NO
#D1423,SIL,NO
#D1424,BLK,NO
#D1424,BURGUNDY,NO
#D1424,CHAM,NO
#D1424,RYL,NO
#D1424,WHT,NO
#D1424,BURGUNDY,NO
#D1424,CHAM,NO
#D1424,RYL,NO
#D1424,WHT,NO
#D1435,BLK,NO
#D1435,LAV,NO
#D1435,PURPLE,NO
#D1435,SAPPHIRE,NO
#D1435,WHT,NO
#D1435,BLK,NO
#D1435,PURPLE,NO
#D1435,SAPPHIRE,NO
#D1435,WHT,NO
#D1446,PURP/BLK,NO
#D1446,S.PINK/BLK,NO
#D1446,NVY/W,NO
#D1446,PINK/BLACK,NO
#D1446,PURP/BLK,YES
#D1446,RED/BLK,NO
#D1446,S.PINK/BLK,YES
#D1450,BLK,YES
#D1450,IVY,YES
#D1450,LIME,NO
#D1450,PURPLE,NO
#D1450,RYL,YES
#D1450,BLK,YES
#D1450,IVY,YES
#D1450,LIME,NO
#D1450,PURPLE,NO
#D1450,RYL,YES
#D1451,BLK,YES
#D1451,CRAN,YES
#D1451,WHT,YES
#D1451,BLK,YES
#D1451,CRAN,YES
#D1451,WHT,YES
#D1453,ICE BLUE,NO
#D1453,PINK,NO
#D1453,ICE BLUE,NO
#D1453,PINK,NO
#D1455,BLK,YES
#D1455,LAV,YES
#D1455,WHT,YES
#D1455,BLK,YES
#D1455,LAV,YES
#D1455,WHT,YES
#D1457,WHT/BLUE,NO
#D1457,WHT/PNK,NO
#D1458,BURGUNDY,YES
#D1458,GREEN,YES
#D1458,NAVY,YES
#D1458,WHT,YES
#D1458,BURGUNDY,YES
#D1458,GREEN,YES
#D1458,NAVY,YES
#D1458,PINK,YES
#D1458,WHT,YES
#D1467,ORANGE/BLK,NO
#D1467,LILAC/BLK,NO
#D1467,ORANGE/BLK,NO
#D1468,PINK/WHT,NO
#D1468,WHT,NO
#D1468,YELLOW/WHT,NO
#D1468,LIME/WHT,NO
#D1468,PINK/WHT,NO
#D1468,YELLOW/WHT,NO
#D1469,GLD/BLK,NO
#D1469,RED/BLK,NO
#D1469,WHT,NO
#D1473,BLK,NO
#D1473,NAVY,NO
#D1473,BLK,NO
#D1474,BLK,NO
#D1474,IVY,NO
#D1474,BLK,NO
#D1474,IVY,NO
#D1475,DENIM BLUE,NO
#D1475,KHAKI,NO
#D1475,LAV,NO
#D1475,WHT,NO
#D1476,DENIM BLUE,NO
#D1476,LAV,NO
#D1477,PINK,NO
#D1477,WHT,NO
#D1479,BLK,NO
#D1479,BLUE,NO
#D1479,PURPLE,NO
#D1479,BLK,NO
#D1479,PURPLE,NO
#D1481,HP,NO
#D1481,WHT,NO
#D1481,HP,NO
#D1483,BLACK/GREEN,NO
#D1483,W/B,NO
#D1483,WHT/LV,NO
#D1483,BLACK/GREEN,NO
#D1483,W/B,NO
#D1483,WHT/LV,NO
#D1484,LEMON YEL,NO
#D1484,LIME,NO
#D1484,LEMON YEL,NO
#D1484,LIME,NO
#D1485,DK. LIME,NO
#D1485,ICE BLUE,NO
#D1485,ROSE PINK,NO
#D1485,DK. LIME,NO
#D1485,ICE BLUE,NO
#D1486,NAVY,NO
#D1486,WHT,NO
#D1486,NAVY,NO
#D1488,PUR/TURQ,NO
#D1488,PUR/TURQ,NO
#D1489,DENIM BLUE,NO
#D1489,PINK,NO
#D1490,WHT,NO
#D1490,WHT,NO
#D1492,LIME GREEN,NO
#D1492,LIME GREEN,NO
#D1493,SIL,NO
#D1493,WHT,NO
#D1494,IVY,NO
#D1494,PINK,NO
#D1494,IVY,NO
#D1494,PINK,NO
#D1495,NAVY,YES
#D1495,WHT,YES
#D1495,NAVY,YES
#D1495,WHT,YES
#D1496,BLUE,NO
#D1496,BLUE,NO
#D1497,LIME GREEN,YES
#D1498,NAVY,YES
#D1498,PUR/GLD,NO
#D1498,RED/BLK,NO
#D1498,NAVY,YES
#D1498,PUR/GLD,NO
#D1498,RED/BLK,NO
#D1499,CHAM,NO
#D1499,WHT,NO
#D1499,CHAM,NO
#D1499,WHT,NO
#D1500,IVY,NO
#D1500,IVY,NO
#D1501,BLK,NO
#D1501,BLK,NO
#D1502,BLK/GRN,NO
#D1502,BLK/PNK,NO
#D1502,BLK/GRN,NO
#D1502,BLK/PNK,NO
#D5005,BLUSH,NO
#D5005,CHAM,NO
#D7208,RED,NO
#E0835,LAV,NO
#E0835,PASTEL GRN,NO
#E0835,LAV,NO
#G0842,WHT/TURQ,NO
#G0842,WHT/TURQ,NO
#G0844,CHAM,YES
#G0844,GLD/BLK,YES
#G0844,IVY,YES
#G0844,SIL,YES
#G0844,WHT,YES
#G0844,BLK,YES
#G0844,CHAM,YES
#G0844,GLD/BLK,YES
#G0844,ICE BLUE,YES
#G0844,IVY,YES
#G0844,SIL,YES
#G0844,WHT,YES
#G1001,LT. SILVER,NO
#G1007,BLK,YES
#G1007,CHOCO,YES
#G1007,Emerald,YES
#G1007,GOLD,NO
#G1007,LAV,NO
#G1007,PINK,YES
#G1007,RED,YES
#G1007,WHT,YES
#G1007,BLK,YES
#G1007,Emerald,YES
#G1007,GOLD,NO
#G1007,ICE BLUE,NO
#G1007,LAV,NO
#G1007,PINK,NO
#G1007,RED,YES
#G1007,SPK,YES
#G1007,WHT,YES
#G1011,CHAM,YES
#G1011,GUNMETAL,YES
#G1011,RED,YES
#G1011,WHT,YES
#G1011,CHAM,YES
#G1011,GUNMETAL,YES
#G1011,RED,YES
#G1011,WHT,YES
#G1018,CRAN,NO
#G1018,PURPLE,NO
#G1018,BLK,NO
#G1018,CRAN,NO
#G1018,GINGER,NO
#G1018,PURPLE,NO
#G1018,SPK,NO
#G1018,WHT,NO
#G1035,BLK/ROYAL,NO
#G1035,BLK/ROYAL,NO
#G1041,PURPLE,NO
#G1041,PURPLE,NO
#G1042,EMERALD/WHT,NO
#G1042,GOLD/WHT,NO
#G1043,LIME/BLK,NO
#G1043,ORANGE/BLK,NO
#G1044,HOTPINK/BLK,NO
#G1044,LIME/BLK,NO
#G1045,HOTPINK/BLK,NO
#G1045,LIME/BLK,NO
#G1045,RYL/BLK,NO
#G1045,HOTPINK/BLK,NO
#G1045,LIME/BLK,NO
#G1045,RYL/BLK,NO
#G1046,TURQ,NO
#G1046,WHT,NO
#G1047,ICE BLUE,NO
#G1047,PINK,NO
#G1047,WHT,NO
#G1047,Emerald,NO
#G1047,ICE BLUE,NO
#G1047,PINK,NO
#G1047,WHT,NO
#G1048,LEMON YEL,NO
#G1048,ROSE PINK,NO
#G1048,LEMON YEL,NO
#G1048,ROSE PINK,NO
#G1048,WHT,NO
#G1049,ROSE PINK,NO
#G1049,WHT,NO
#G1050,PEACH,NO
#G1050,PEACH,NO
#G1051,GOLD,YES
#G1051,GREEN,YES
#G1051,GOLD,YES
#G1051,GREEN,YES
#G1053,NVY/W,NO
#G1053,NVY/W,NO
#G1054,NVY/W,NO
#G1055,NVY/W,NO
#G1055,NVY/W,NO
#G1056,PURP/WHITE,NO
#G1056,PURP/WHITE,NO
#G1059,BLK,YES
#G1059,FUCHSIA,YES
#G1059,IVY,YES
#G1059,BLK,YES
#G1059,FUCHSIA,YES
#G1059,IVY,YES
#G1060,LAV,YES
#G1060,LAV,YES
#G1060,OFF WHT,YES
#G1061,BLUE,NO
#G1061,SIL,NO
#G1062,FUCHSIA,YES
#G1062,FUCHSIA,YES
#G1062,MUSTARD,YES
#G1063,PINK,NO
#G1063,ICE BLUE,NO
#G1063,PINK,NO
#G1064,BLK,NO
#G1064,BLK,NO
#G1065,BLK,NO
#G1065,BLK,NO
#G1066,FUCHSIA,YES
#G1066,MUSTARD,YES
#G1066,FUCHSIA,YES
#G1066,MUSTARD,YES
#G1067,NAVY/GRN,NO
#G1067,PUR/GLD,NO
#G1067,NAVY/GRN,NO
#G1067,PUR/GLD,NO
#G1068,NAVY/GRN,NO
#G1068,RED/BLK,NO
#G1068,NAVY/GRN,NO
#G1068,RED/BLK,NO
#G1069,CINNAMON/TPE,NO
#G1069,STEEL/SIL,NO
#G1069A,WHT,NO
#G1069A,WHT,NO
#G1069,CINNAMON/TPE,NO
#G1069,STEEL/SIL,NO
#G1080,PURPLE,YES
#G1080,RED,YES
#G1080,WHT,YES
#G1080,PURPLE,YES
#G1080,RED,YES
#G1080,WHT,YES
#G1081,BLK,NO
#G1081,MUSTARD GLD,NO
#G1081,RED,NO
#G1081,BLK,NO
#G1081,MUSTARD GLD,NO
#G1081,RED,NO
#G1082,W/B,NO
#G1082,WHT/BLK/RED,NO
#G1082,W/B,NO
#G1088,BLK,YES
#G1088,CHAM,YES
#G1088,NAVY,YES
#G1088,SIL,YES
#G1088,WHT,YES
#G1088,BLK,YES
#G1088,CHAM,YES
#G1088,NAVY,YES
#G1088,SIL,YES
#G1088,WHT,YES
#H0889,AQUA BLUE,NO
#H0889,CORAL PINK,NO
#H0895,B. ORANGE,NO
#H0907/08,Emerald,NO
#H0910,BLK/WHT DOT,NO
#HD1326,LEOPARD,NO
#HD1335,W/B,NO
#HD1337,MULTI,NO
#HD1338,BLACK/WHT,NO
#HD1339,GOLD/RYL,NO
#HD1340,GOLD/RED/BLK,NO
#HD1341,ORG MULTI,NO
#HD1341,SFM MULTI,NO
#HD1342,WHT/ROYAL,NO
#HD1345,GOLD,NO
#HD1345,SAPPHIRE,NO
#HD1345,WHT,NO
#HD1347,MULTI,NO
#HD1348,MULTI,NO
#HD1349,BLK/PNK,NO
#HD1424/58,NAVY,NO
#HD1424/58,PINK,NO
#HD1468/69,GLD/BLK,YES
#HD1491,CHAM,NO
#HD1492,LIME GREEN,NO
#HD1493,SIL,NO
#HD1494,IVY,NO
#HD1494,PINK,NO
#HD1499,CHAM,NO
#HD1502,BLACK/GREEN,NO
#HD1502,BLK/PNK,NO
#HG1007,BLK,NO
#HG1007,CHAM,NO
#HG1007,Emerald,NO
#HG1007,ICE BLUE,NO
#HG1007,IVY,NO
#HG1007,NAVY,NO
#HG1007,SIL,NO
#HG1007,WHT,NO
#HG1035,BLK/ROYAL,NO
#HG1037/39,EMERALD/WHT,NO
#HG1037/39,GOLD/WHT,NO
#HG1040,PEACOCK,YES
#HG1040,VIOLET,YES
#HG1046,PURPLE,NO
#HG1046,TURQ,NO
#HG1059,BLK,NO
#HG1059,FUCHSIA,NO
#HG1059,IVY,NO
#HG1060,LAV,NO
#HG1060,OFF WHT,NO
#HG1061,BLUE,NO
#HG1061,SIL,NO
#HG1062,MUSTARD,NO
#HG1066,FUCHSIA,NO
#HG1066,MUSTARD,NO
#HG1067/68,NAVY,NO
#HG1067/68,PURPLE,NO
#HG1067/68,RED,NO
#HG1069,CINNAMON,NO
#HG1069,IVY,NO
#HG1069,SIL,NO
#HG1081,BLK,NO
#HG1081,MUSTARD GLD,NO
#HG1081,RED,NO
#HM1020,BLK,YES
#HM1020,WHT,NO
#HM935,BLK,NO
#HM935,CHOCO,NO
#HM935,NAVY,NO
#HM935,RYL,NO
#HM935,WHT,NO
#HM948,LILAC,YES
#HM948,PASTEL GRN,YES
#HM953,ROSE,YES
#HM953,SAPPHIRE,YES
#HM956,PEACOCK,YES
#HM957,PURPLE,YES
#HM957,RED,YES
#HM958,BLUE,YES
#HM958,PEACOCK,YES
#HM958,PINK,YES
#HM959,Animal,YES
#HM960,BLUE,YES
#HM960,MAUVE,YES
#HM960,PINK,YES
#HM960,WHT,YES
#HM961,LAV,YES
#HM961,NAVY,YES
#HM961,YELLOW,YES
#HM964,LIME,YES
#HM965,ICE BLUE,NO
#HM965,WHT,NO
#HM967,BLK,NO
#HM967,BLUE,NO
#HM967,PINK,NO
#HM967,WHT,NO
#HM968,RYL,NO
#HM969,W/B,NO
#HM970,BLK,NO
#HM970,NAVY,NO
#HM970,WHT,NO
#HM971,BLK,NO
#HM971,PURPLE,NO
#HM971,RYL,NO
#HR1020,PURPLE,YES
#HR1030,NAVY,YES
#HR1031,GREEN,YES
#HR1031,SIL,YES
#HR1031,TURQ,YES
#HR1031,WHT,YES
#HR1037,BLK,YES
#HR1037,CHAM,YES
#HR1037,NAVY,YES
#HR1037,RED,YES
#HR1037,SIL,YES
#HR1037,WHT,NO
#HR1038,CHAMP/CHOCO,YES
#HR1038,SIL/ST,YES
#HR1038,W/B,YES
#HR1052,BLACK/WHT,YES
#HR1053,BLK,NO
#HR1053,PURPLE,NO
#HR1055,CHAM,NO
#HR1055,CHOCO,NO
#HR1055,IVY,NO
#HR1055,SIL,NO
#HR1056,CRAN,NO
#HR1056,RED,NO
#HR1056,RYL,NO
#HR1056,WHT,NO
#P1011,NAVY,NO
#P1011,PINK,NO
#P1011,WHT,NO
#P1012,GREEN,NO
#P1012,RED/BLUE/YEL,NO
#P1013,BLACK/WHT,NO
#P1013,BLK/RED,NO
#P1013,RAINBOW,NO
#P1014,DENIM,NO
#P1016,DENIM/ORG,NO
#PS1701,PINK,NO
#S0301,BLK,YES
#S0301,BLK,YES
#S0301,RED,YES
#S0712,BLK,NO
#S0712,NAVY,NO
#S0712B,FUCHSIA,NO
#S0712B,LIME,NO
#S0712B,RED,NO
#S0712C,RED,NO
#S0712C,WINTER BLUE,NO
#S0712C,RED,NO
#S0712,BLK,NO
#S0713,NVY/W,NO
#S0714,CHOCO,NO
#S0714,CHOCO,NO
#T0074,SIL MULTI,NO
#T0074,SIL MULTI,NO
#T3925,RED,NO
#T5443,GOLD,NO
#T5443,GOLD,NO
#T5460,PURP/BLK,NO
#T5460,PURP/BLK,NO
#T7006,DK. CITRON,NO
#T7006,DK. CITRON,NO
