Style,Sale in 60 days,Total Sale,Sale Months,Sale/Month,First on site,Last sale,Update Invt.,ATS,,,,
'G1030,-1,15,24,0.61,20170119,20171227,N,N,,,,
'0656,-1,34,57,0.6,20140501,20150420,N,N,,,,
'HG1037/39,-1,7,12,0.6,20180209,20180511,N,N,,,,
'0702,-1,37,63,0.59,20131101,20140508,N,N,,,,
'G1046,-1,10,17,0.59,20170831,20180503,N,N,,,,
'G1063,-1,6,10,0.59,20180325,20180726,N,N,,,,
'0628,-1,33,57,0.58,20140501,20150727,N,N,,,,
'0801,-1,24,42,0.57,20150723,20161208,N,N,,,,
'0878,-1,13,23,0.57,20170306,20171107,N,N,,,,
'0630,-1,27,49,0.55,20141222,20151208,N,N,,,,
'G1037,-1,10,18,0.55,20170729,20180126,N,N,,,,
'G1049,-1,6,11,0.55,20180305,20180619,N,N,,,,
'G1025,-1,18,34,0.53,20160330,20170504,N,N,,,,
'0820B,-1,21,41,0.51,20150827,20160609,N,N,,,,
'HR1040,-1,19,37,0.51,20151217,20170510,N,N,,,,
'0673,-1,25,52,0.48,20140926,20150710,N,N,,,,
'G1017,-1,18,38,0.47,20151201,20170306,N,N,,,,
'0669,-1,22,52,0.42,20140926,20151006,N,N,,,,
'G1004,-1,23,54,0.42,20140724,20151130,N,N,,,,
'0621,-1,24,59,0.41,20140228,20150910,N,N,,,,
'0555,-1,27,68,0.4,20130606,20140409,N,N,,,,
'0872,-1,11,27,0.4,20161020,20170519,N,N,,,,
'0625C,-1,22,59,0.37,20140303,20150702,N,N,,,,
'0807,-1,16,43,0.37,20150623,20160324,N,N,,,,
'D1443,-1,13,35,0.37,20160307,20160707,N,N,,,,
'G0807,-1,13,35,0.37,20160310,20160718,N,N,,,,
'0728,-1,16,46,0.35,20150330,20151221,N,N,,,,
'0522,-1,22,67,0.33,20130627,20131011,N,N,,,,
'0644,-1,18,57,0.32,20140508,20141211,N,N,,,,
'0626,-1,18,59,0.3,20140228,20150429,N,N,,,,
'0805,-1,12,40,0.3,20151008,20160523,N,N,,,,
'0863B,-1,7,24,0.29,20170119,20170510,N,N,,,,
'G1019,-1,11,39,0.28,20151023,20160425,N,N,,,,
'D1491,-1,3,11,0.27,20180223,20180316,N,N,,,,
'HM935B,-1,8,29,0.27,20160818,20170508,N,N,,,,
'G1012,-1,10,39,0.26,20151113,20160715,N,N,,,,
'0605,-1,15,59,0.25,20140228,20141201,N,N,,,,
'0609,-1,15,60,0.25,20140206,20150728,N,N,,,,
'0820,-1,10,40,0.25,20151016,20160229,N,N,,,,
'0724,-1,11,46,0.24,20150317,20150928,N,N,,,,
'0629,-1,14,60,0.23,20140206,20150406,N,N,,,,
'0677,-1,11,49,0.23,20150112,20150902,N,N,,,,
'0714B,-1,10,44,0.23,20150601,20160311,N,N,,,,
'0752,-1,11,49,0.23,20150108,20161205,N,N,,,,
'G1050,-1,2,9,0.23,20180514,20180607,N,N,,,,
'0817,-1,9,40,0.22,20150924,20160815,N,N,,,,
'G1020,-1,8,37,0.22,20160105,20160609,N,N,,,,
'0733,-1,10,47,0.21,20150306,20150925,N,N,,,,
'G1021,-1,7,34,0.21,20160329,20160729,N,N,,,,
'S0713,-1,5,24,0.21,20170201,20170509,N,N,,,,
'G1061,-1,2,10,0.2,20180325,20180430,N,N,,,,
'H0852,-1,6,29,0.2,20160818,20170721,N,N,,,,
'H0829,-1,4,22,0.18,20170403,20170906,N,N,,,,
'G1044,-1,3,18,0.17,20170729,20180611,N,N,,,,
'HR1043,-1,6,35,0.17,20160307,20161010,N,N,,,,
'0499,-1,11,67,0.16,20130703,20140205,N,N,,,,
'0599,-1,10,61,0.16,20131223,20150223,N,N,,,,
'HM952,-1,3,19,0.16,20170703,20180103,N,N,,,,
'0744,-1,7,47,0.15,20150306,20150817,N,N,,,,
'0614,-1,8,59,0.14,20140303,20150601,N,N,,,,
'0624,-1,8,59,0.14,20140303,20141016,N,N,,,,
'0716,-1,7,49,0.14,20141223,20160107,N,N,,,,
'H0843,-1,3,22,0.14,20170331,20170417,N,N,,,,
'D1460,-1,3,22,0.13,20170323,20170414,N,N,,,,
'0674,-1,6,52,0.12,20140926,20150623,N,N,,,,
'0721,-1,6,50,0.12,20141124,20160217,N,N,,,,
'0750,-1,6,50,0.12,20141210,20150420,N,N,,,,
'HR1047,-1,3,25,0.12,20170111,20170522,N,N,,,,
'0659,-1,6,53,0.11,20140829,20150417,N,N,,,,
'0804,-1,4,37,0.11,20160105,20160606,N,N,,,,
'0873,-1,3,28,0.11,20161004,20161206,N,N,,,,
'0712,-1,5,50,0.1,20141202,20150916,N,N,,,,
'0715,-1,5,49,0.1,20141223,20160205,N,N,,,,
'G1052,-1,1,10,0.1,20180326,20180518,N,N,,,,
'H0847,-1,3,29,0.1,20160818,20161107,N,N,,,,
'0525,-1,6,66,0.09,20130815,20140317,N,N,,,,
'0560,-1,5,57,0.09,20140506,20140528,N,N,,,,
'0809,-1,4,42,0.09,20150722,20151231,N,N,,,,
'D1456,-1,2,23,0.09,20170306,20170419,N,N,,,,
'G1015,-1,4,42,0.09,20150723,20160302,N,N,,,,
'G1005,-1,4,43,0.09,20150623,20160303,N,N,,,,
'0612,-1,5,60,0.08,20140206,20140414,N,N,,,,
'HR1048,-1,2,25,0.08,20170111,20170530,N,N,,,,
'0620,-1,4,59,0.07,20140303,20140407,N,N,,,,
'0640,-1,4,54,0.07,20140724,20150331,N,N,,,,
'0866,-1,2,28,0.07,20161004,20170510,N,N,,,,
'H0723,-1,2,29,0.07,20160818,20170213,N,N,,,,
'0720,-1,3,50,0.06,20141124,20150316,N,N,,,,
'HR1045,-1,2,35,0.06,20160307,20161019,N,N,,,,
'0606,-1,3,60,0.05,20140206,20140414,N,N,,,,
'0547,-1,3,67,0.04,20130624,20140507,N,N,,,,
'0563,-1,2,54,0.04,20140724,20140804,N,N,,,,
'0714,-1,2,50,0.04,20141205,20150615,N,N,,,,
'0863,-1,1,28,0.04,20161004,20170203,N,N,,,,
'HR1042,-1,1,25,0.04,20170111,20170526,N,N,,,,
'HR1044,-1,1,25,0.04,20170111,20170427,N,N,,,,
'HR1051,-1,1,25,0.04,20170113,20170302,N,N,,,,
'0512,-1,2,67,0.03,20130627,20130813,N,N,,,,
'0713,-1,1,50,0.02,20141205,20150706,N,N,,,,
'0730,-1,0,42.53,0,20150715,N/A,N,N,,,,
'D1466,-1,0,17.00,0,20170901,N/A,N,N,,,,
'H0812/13,-1,0,29.43,0,20160818,N/A,N,N,,,,
'H0861,-1,0,14.03,0,20171130,N/A,N,N,,,,
'HR1041,-1,0,24.67,0,20170111,N/A,N,N,,,,
'S0712C,-1,0,16.17,0,20170926,N/A,N,N,,,,
'G1018,-1,216,31,7.01,20160706,20180904,N,Y,,,,
'S0712,-1,198,29,6.73,20160818,20181015,N,Y,,,,
'D1435,-1,112,25,4.55,20170113,20181003,N,Y,,,,
'D1458,-1,75,18,4.15,20170729,20181112,N,Y,,,,
'S0714,-1,82,24,3.4,20170127,20180725,N,Y,,,,
'S0711,-1,92,30,3.1,20160811,20180205,N,Y,,,,
'0877,-1,70,23,3,20170222,20180904,N,Y,,,,
'G0844,-1,19,7,2.88,20180713,20181121,N,Y,,,,
'0875,-1,52,27,1.9,20161021,20171218,N,Y,,,,
'D1477,-1,16,8,1.9,20180518,20180817,N,Y,,,,
'D1453,-1,28,15,1.87,20171101,20180911,N,Y,,,,
'D1423,-1,46,28,1.65,20161004,20180305,N,Y,,,,
'S0710,-1,44,27,1.63,20161101,20180413,N,Y,,,,
'0709,-1,6,4,1.62,20181010,20181105,N,Y,,,,
'P1012,-1,18,12,1.48,20180127,20180511,N,Y,,,,
'D1484,-1,17,12,1.41,20180129,20181010,N,Y,,,,
'0889,-1,8,8,1.05,20180612,20180831,N,Y,,,,
'D1450,-1,22,22,1,20170403,20181107,N,Y,,,,
'G1056,-1,8,9,0.93,20180514,20180730,N,Y,,,,
'0903,-1,3,4,0.81,20181010,20181016,N,Y,,,,
'D1457,-1,18,23,0.77,20170222,20180529,N,Y,,,,
'0899,-1,8,11,0.74,20180305,20180820,N,Y,,,,
'D1498,-1,6,10,0.59,20180326,20181003,N,Y,,,,
'D1337,-1,5,9,0.53,20180420,20180719,N,Y,,,,
'D1455,-1,11,22,0.5,20170402,20170711,N,Y,,,,
'D1499,-1,4,9,0.47,20180514,20180919,N,Y,,,,
'D1486,-1,4,10,0.39,20180324,20180904,N,Y,,,,
'D1469,-1,6,16,0.37,20170922,20180730,N,Y,,,,
'G1053,-1,4,11,0.36,20180223,20180711,N,Y,,,,
'HM935,-1,10,29,0.34,20160818,20170719,N,Y,,,,
'G1055,-1,3,9,0.32,20180420,20180905,N,Y,,,,
'D1483,-1,4,15,0.27,20171101,20180710,N,Y,,,,
'D1496,-1,3,11,0.27,20180223,20180625,N,Y,,,,
'G1080,-1,1,4,0.27,20181010,20181016,N,Y,,,,
'D1485,-1,3,12,0.25,20180129,20180626,N,Y,,,,
'D1488,-1,3,12,0.25,20180129,20181003,N,Y,,,,
'D1489,-1,2,8,0.24,20180522,20180709,N,Y,,,,
'D1468,-1,4,18,0.22,20170729,20170907,N,Y,,,,
'D1423B,-1,3,16,0.18,20170918,20180605,N,Y,,,,
'D1335,-1,1,9,0.11,20180420,20181009,N,Y,,,,
'D1494,-1,1,10,0.1,20180326,20180330,N,Y,,,,
'D1325,-1,0,8.27,0,20180523,N/A,N,Y,,,,
'D1336,-1,0,9.37,0,20180420,N/A,N,Y,,,,
'D1338,-1,0,9.37,0,20180420,N/A,N,Y,,,,
'D1339,-1,0,9.37,0,20180420,N/A,N,Y,,,,
'D1340,-1,0,9.37,0,20180420,N/A,N,Y,,,,
'D1474,-1,0,8.23,0,20180524,N/A,N,Y,,,,
'D1476,-1,0,8.3,0,20180522,N/A,N,Y,,,,
'G1082,-1,0,5.13,0,20180827,N/A,N,Y,,,,
'0825,1,29,12,2.51,20180215,20181204,N,Y,,,,
'0566,N/A FOS not updated,0,0,0,N/A,N/A,N,N,,,,
'0760,N/A FOS not updated,9,0,0,N/A,20160505,N,N,,,,
'0765,N/A FOS not updated,22,0,0,N/A,20160822,N,N,,,,
'0810,N/A FOS not updated,5,0,0,N/A,20151130,N,N,,,,
'0816,N/A FOS not updated,0,0,0,N/A,N/A,N,N,,,,
'0860,N/A FOS not updated,17,0,0,N/A,20160920,N,N,,,,
'HG1023/24 hite/Pin,N/A FOS not updated,0,0,0,N/A,N/A,N,N,,,,
'HM95,N/A FOS not updated,0,0,0,N/A,N/A,N,N,,,,
