style,color
D1477, Pink
D1477, White
D1478, Ice blue
D1479, Black
D1479, Ice blue
D1479, Purple
D1481, Hot Pink
D1481, White
D1482, Lemon yellow
D1482, Lilac
D1482, White
D1483, Black-green
D1483, White-blk
D1483, White-lav
D1484, Lemon yellow
D1484, Lime
D1484, White
D1485, Dk. Lime
D1485, Ice blue
D1485, Rose pink
D1485, White
D1486, Navy
D1486, White
D1488, Purple-turq
D1489, Denim blue
D1489, Pink
D1490, White
D1491, Champagne
D1492, Lime green
D1493, Silver
D1493, White
D1494, Ivory
D1494, Pink
D1495, Navy
D1495, White
D1496, Blue
D1497, Lime green
D1498, Navy
D1498, Purple-gold
D1498, Red-blk
D1499, Champagne
D1499, Copper
D1499, White
D1500, Ivory
D1501, Black leopard
D1502, Black-green
D1502, Black-pink
D1504, Champagne
D1505, Olive
D1506, Olive
D1320, Mustard-gold
D1332, Black-black
D1332, White-white
D1318, Fuchsia Royal
D5005, blush pink
D5005, champagne
D1424, Black
D1424, White
D1446, Pink-blk
D1446, Purple-blk
D1473, Navy
G0842, White-turq
G0844, Black
G0844, Champ
G0844, Gold-blk
G0844, Ice blue
G0844, Ivory
G0844, Silver
G0844, White
G1001, Black
G1001, Silver
G1001, White
G1007, Black
G1007, Chocolate
G1007, Emerald
G1007, Ice blue
G1007, Pink
G1007, Red
G1011, Champagne
G1011, Gunmetal
G1011, Red
G1018, Black
G1018, Cranberry
G1018, Ginger
G1018, Purple
G1018, Soft Pink
G1018, White
G1026, White
G1032, Black-sil
G1034, White-blue
G1034, White-pink
G1035, Black-royal
G1037, Gold-wht
G1039, back shot
G1039, Black-wht
G1039, Emerald-wht
G1039, Gold-wht
G1041, Navy
G1041, Purple
G1042, Emerald-wht
G1042, Gold-wht
G1042, White
G1043, Lilac-blk
G1043, Lime-blk
G1043, Orange-blk
G1044, Hot pink-blk
G1044, Lime-blk
G1044, Royal-blk
G1045, Hot pink
G1045, Lime-blk
G1045, Royal-blk
G1046, Turq
G1047, Emerald
G1047, Ice blue
G1047, Pink
G1047, White
G1048, Lemon Yellow
G1048, Rose pink
G1048, White
G1049, Rose pink
G1049, White
G1050, Peach
G1050, White
G1051, Green
G1052, Champagne
G1053, Navy-wht
G1054, Navy-wht
G1055, Navy-wht
G1055, Purple-wht
G1056, Navy-wht
G1056, Purple-wht
G1059, Black
G1059, Fuchsia
G1059, Ivory
G1060, Lavender
G1060, Off white
G1061, Blue
G1061, Silver
G1062, Fuchsia
G1062, Mustard
G1063, Ice blue
G1063, Pink
G1064, Black leopard
G1065, Black leopard
G1066, Fuchsia
G1066, Mustard
G1067, Navy-green
G1067, Purple-gold
G1068, Navy-green
G1068, Red-blk
G1069, Cinnamon
G1069, Steel
G1069A, White
G1072, Apple Green
G1080, Purple
G1080, Red
G1080, White
G1081, Black
G1081, Mustard gold
G1081, Red
G1082, White-blk Dot
G1082, White-blk-red
G1082, White-lav
G1088, Black
G1088, Champagne
G1088, Navy
G1088, Silver
G1088, White
G1069, Cinnamon-taupe
G1051, Gold
G1011, White
G1007, Dk. Lavender
G1007, Gold
